objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
367428	0	object/tangible/hq_destructible/security_terminal.iff	0	4714.49	24.62052	-5758.32	0.9238796	0	0.3826834	0		$|
2715878	0	object/building/military/military_base_shed_imperial_style_officer_s01.iff	0	4615	25	-5812	0.3826822	0	0.92388	0		$|
2715879	2715878	object/cell/cell.iff	1	0	0	0	0	1.401298E-45	1	0		$|
2715880	2715878	object/cell/cell.iff	2	0	0	0	0	2.802597E-45	1	0		$|
2715881	2715878	object/cell/cell.iff	3	0	0	0	0	4.203895E-45	1	0		$|
2715882	2715878	object/cell/cell.iff	4	0	0	0	0	5.605194E-45	1	0		$|
2715883	2715878	object/cell/cell.iff	5	0	0	0	0	7.006492E-45	1	0		$|
2715884	2715878	object/cell/cell.iff	6	0	0	0	0	8.407791E-45	1	0		$|
367432	2715884	object/tangible/hq_destructible/power_regulator.iff	0	-5.501849	0.125266	-4.543806	0.7071056	0	0.7071079	0		$|
1109935	2715884	object/tangible/collection/scout_trooper_boots.iff	0	-2.545596	0.1232719	-0.2478217	0.9945758	0	0.104015	0		$|
2715899	0	object/building/military/military_base_shed_imperial_style_officer_s01.iff	0	4616	25	-5756	0.9238781	0	0.3826864	0		$|
2715900	2715899	object/cell/cell.iff	1	0	0	0	0	1.401298E-45	1	0		$|
2715901	2715899	object/cell/cell.iff	2	0	0	0	0	2.802597E-45	1	0		$|
2715902	2715899	object/cell/cell.iff	3	0	0	0	0	4.203895E-45	1	0		$|
2715903	2715899	object/cell/cell.iff	4	0	0	0	0	5.605194E-45	1	0		$|
2715904	2715899	object/cell/cell.iff	5	0	0	0	0	7.006492E-45	1	0		$|
367429	2715904	object/tangible/terminal/terminal_hq.iff	0	4.014464	0.125266	-1.56995	1	0	-3.200127E-08	0		$|
2715905	2715899	object/cell/cell.iff	6	0	0	0	0	8.407791E-45	1	0		$|
2715906	0	object/building/military/military_base_shed_imperial_barracks_s01.iff	0	4687	25	-5731	0.9238803	0	-0.3826815	0		$|
2715907	2715906	object/cell/cell.iff	1	0	0	0	0	1.401298E-45	1	0		$|
2715908	2715906	object/cell/cell.iff	2	0	0	0	0	2.802597E-45	1	0		$|
2715909	2715906	object/cell/cell.iff	3	0	0	0	0	4.203895E-45	1	0		$|
2715910	2715906	object/cell/cell.iff	4	0	0	0	0	5.605194E-45	1	0		$|
2715911	2715906	object/cell/cell.iff	5	0	0	0	0	7.006492E-45	1	0		$|
2715912	2715906	object/cell/cell.iff	6	0	0	0	0	8.407791E-45	1	0		$|
2715913	0	object/building/military/military_base_shed_imperial_barracks_s01.iff	0	4687	25	-5837	-0.3826891	0	0.9238772	0		$|
2715914	2715913	object/cell/cell.iff	1	0	0	0	0	1.401298E-45	1	0		$|
2715915	2715913	object/cell/cell.iff	2	0	0	0	0	2.802597E-45	1	0		$|
2715916	2715913	object/cell/cell.iff	3	0	0	0	0	4.203895E-45	1	0		$|
2715917	2715913	object/cell/cell.iff	4	0	0	0	0	5.605194E-45	1	0		$|
2715918	2715913	object/cell/cell.iff	5	0	0	0	0	7.006492E-45	1	0		$|
2715919	2715913	object/cell/cell.iff	6	0	0	0	0	8.407791E-45	1	0		$|
2715920	0	object/static/structure/military/military_wall_med_imperial_32_style_01.iff	0	4610	24.5	-5819	0.9238796	0	-0.3826834	0		$|
2715921	0	object/static/structure/military/military_wall_med_imperial_32_style_01.iff	0	4610	24.5	-5749	-0.3826834	0	0.9238796	0		$|
2715922	0	object/static/structure/military/military_wall_med_imperial_32_style_01.iff	0	4599	24.5	-5784	-0.7071063	0	0.7071072	0		$|
2715926	0	object/static/structure/military/military_wall_med_imperial_style_01.iff	0	4599	24.5	-5764	-0.7071063	0	0.7071072	0		$|
2715927	0	object/static/structure/military/military_wall_med_imperial_style_01.iff	0	4599	24.5	-5804	0.707107	0	-0.7071069	0		$|
2715928	0	object/static/structure/military/military_wall_med_imperial_32_style_01.iff	0	4632	24.5	-5841	0.92388	0	-0.382683	0		$|
2715929	0	object/static/structure/military/military_wall_med_imperial_32_style_01.iff	0	4632	24.5	-5727	-0.3826832	0	0.9238796	0		$|
2715930	0	object/static/structure/military/military_wall_med_imperial_32_style_01.iff	0	4696	24.5	-5727	0.3826832	0	0.9238796	0		$|
2715931	0	object/static/structure/military/military_wall_med_imperial_32_style_01.iff	0	4718	24.5	-5749	0.3826832	0	0.9238796	0		$|
2715932	0	object/static/structure/military/military_wall_med_imperial_32_style_01.iff	0	4729	24.5	-5784	0.7071069	0	0.707107	0		$|
2715933	0	object/static/structure/military/military_wall_med_imperial_style_01.iff	0	4729	24.5	-5804	0.7071069	0	0.707107	0		$|
2715934	0	object/static/structure/military/military_wall_med_imperial_style_01.iff	0	4729	24.5	-5764	0.7071069	0	0.707107	0		$|
2715935	0	object/static/structure/military/military_wall_med_imperial_32_style_01.iff	0	4718	24.5	-5819	0.9238796	0	0.3826832	0		$|
2715936	0	object/static/structure/military/military_wall_med_imperial_32_style_01.iff	0	4696	24.5	-5841	0.9238796	0	0.3826832	0		$|
2715937	0	object/static/structure/military/military_column_med_imperial_style_01.iff	0	4643	25	-5852	0	0	1	0		$|
2715938	0	object/static/structure/military/military_column_med_imperial_style_01.iff	0	4685	25	-5852	0	0	1	0		$|
2715941	0	object/static/structure/military/military_column_med_imperial_style_01.iff	0	4599	25	-5808	0	0	1	0		$|
2715942	0	object/static/structure/military/military_column_med_imperial_style_01.iff	0	4599	25	-5760	0	0	1	0		$|
2715944	0	object/static/structure/military/military_column_med_imperial_style_01.iff	0	4643	25	-5716	0	0	1	0		$|
2715945	0	object/static/structure/military/military_column_med_imperial_style_01.iff	0	4729	25	-5808	0	0	1	0		$|
2715946	0	object/static/structure/military/military_column_med_imperial_style_01.iff	0	4729	25	-5760	0	0	1	0		$|
2715948	0	object/static/structure/military/military_column_med_imperial_style_01.iff	0	4685	25	-5716	0	0	1	0		$|
2715949	0	object/building/military/military_base_shed_imperial_barracks_s01.iff	0	4698	25	-5742	0.9238799	0	-0.3826824	0		$|
2715950	2715949	object/cell/cell.iff	1	0	0	0	0	1.401298E-45	1	0		$|
2715951	2715949	object/cell/cell.iff	2	0	0	0	0	2.802597E-45	1	0		$|
2715952	2715949	object/cell/cell.iff	3	0	0	0	0	4.203895E-45	1	0		$|
