objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
3735624	0	object/static/structure/general/planter_generic_style_4.iff	0	-2618.756	21.94156	5273.538	0	0	1	0		$|
3735625	0	object/static/structure/general/planter_generic_style_4.iff	0	-2625.396	21.74694	5277.457	0	0	1	0		$|
8265381	0	object/static/structure/general/prp_junk_s6.iff	0	-2782.171	14.28662	5668.848	-0.1380816	0	0.9401661	0.2570041		$|
8265382	0	object/static/structure/dantooine/dant_boundary_post.iff	0	-2776.656	13.42361	5663.593	0.8919287	0	0.4521761	0		$|
8265383	0	object/static/structure/dantooine/dant_boundary_post.iff	0	-2790.286	13.01557	5667.084	0.9065342	0	-0.4221325	0		$|
8265384	0	object/static/structure/dantooine/dant_boundary_post.iff	0	-2780.963	13.11185	5676.658	0	0	1	0		$|
8265385	0	object/building/endor/endor_tiki_torch.iff	0	-2783.059	13.42384	5667.48	0	0	1	0		$|
8265386	0	object/building/endor/endor_tiki_torch.iff	0	-2780.635	13.40656	5669.353	0	0	1	0		$|
8265395	0	object/static/structure/naboo/gungan_damaged_wide_arch_s01.iff	0	-4082.495	34.74913	5959.652	0.1725501	0	0.9711972	0.02374058		$|
8265396	0	object/static/structure/naboo/gungan_pillar_ruined_s01.iff	0	-4086.313	32.8947	5956.393	-0.1304033	0	0.95442	0.06999467		$|
8265398	0	object/static/structure/naboo/gungan_pillar_ruined_s01.iff	0	-4088.121	32.93756	5966.196	0	0	1	0		$|
8265399	0	object/static/structure/naboo/gungan_pillar_damaged_s01.iff	0	-4076.896	34.71262	5963.493	0.6402014	0	-0.5732219	-0.4176189		$|
8265400	0	object/static/structure/naboo/gungan_pillar_damaged_s01.iff	0	-4091.937	32.84058	5959.452	0	0	1	0		$|
8265401	0	object/static/structure/naboo/gungan_pillar_damaged_s01.iff	0	-4082.135	35.41365	5957.078	-0.1136347	0	0.7017538	0.6795626		$|
8265510	0	object/static/structure/general/planter_generic_style_4.iff	0	-2625.042	22.96043	5282.705	0	0	1	0		$|
8265511	0	object/static/structure/general/planter_generic_style_4.iff	0	-2620.802	22.82308	5285.062	0	0	1	0		$|
8265512	0	object/static/structure/general/planter_generic_style_4.iff	0	-2616.018	21.72301	5284.61	0	0	1	0		$|
8265513	0	object/static/structure/general/planter_generic_style_4.iff	0	-2615.034	22.7881	5280.609	0	0	1	0		$|
8265514	0	object/static/structure/general/planter_generic_style_4.iff	0	-2616.381	22.36831	5276.11	0	0	1	0		$|
8265516	0	object/static/structure/general/planter_generic_style_4.iff	0	-2622.896	21.84258	5272.991	0	0	1	0		$|
8395389	0	object/static/structure/general/tato_cave_stalagmite_med.iff	0	-2457.318	8.86051	4577.956	-0.3460166	0	0.7645366	0.4954546		$|
8395390	0	object/static/structure/general/tato_cave_stalagmite_med.iff	0	-2457.654	8.440364	4576.15	0.6129261	0	-0.4741239	-0.418018		$|
8395391	0	object/static/structure/general/tato_cave_stalagmite_med.iff	0	-2456.899	8.214412	4574.725	0.7241621	0	-0.2811594	-0.1283316		$|
8395392	0	object/static/structure/general/tato_cave_stalagmite_med.iff	0	-2454.878	7.818451	4573.479	0.8595854	0	0.2279354	0.1172208		$|
8395393	0	object/static/structure/general/tato_cave_stalagmite_med.iff	0	-2453.461	7.994883	4575.012	0.7414545	0	0.4700574	0.2642345		$|
8395394	0	object/static/structure/general/tato_cave_stalagmite_med.iff	0	-2453.228	7.6873	4577.086	0.4056568	0	0.7887982	0.4106568		$|
8395395	0	object/static/structure/general/tato_cave_stalagmite_med.iff	0	-2455.373	8.641849	4578.459	-0.381115	0	0.7596589	0.4709937		$|
8395396	0	object/static/structure/general/tato_cave_stalagmite_large.iff	0	-2456.523	8.19505	4576.98	-0.1672467	0	0.9262373	0.2563437		$|
8395397	0	object/static/structure/general/tato_cave_stalagmite_large.iff	0	-2454.609	8.143154	4576.779	0.1845553	0	0.9214871	0.3175291		$|
8395398	0	object/static/structure/general/tato_cave_stalagmite_large.iff	0	-2457.452	8.962238	4574.859	0.3606696	0	0.8752562	-0.3185061		$|
8395399	0	object/static/structure/general/tato_cave_stalagmite_large.iff	0	-2455.183	8.984899	4575.738	0.7479975	0	0.5763355	0.1944458		$|
