objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
2975361	0	object/static/structure/general/streetlamp_small_red_style_02.iff	0	-6908.861	102.3029	4512.25	0	0	1	0		$|
8335396	0	object/static/structure/tatooine/debris_tatt_radar_dish.iff	0	-6413.882	90.9129	5739.565	0.1540854	0	0.9471449	-0.02825102		$|
8335397	0	object/static/structure/tatooine/pillar_damaged_large_style_01.iff	0	-6411.88	89.95869	5747.077	0	0	0.99995	0		$|
8335399	0	object/static/structure/tatooine/pillar_ruined_small_style_01.iff	0	-6411.81	90.96567	5732.672	0.2811575	0	0.9596617	0		$|
8335401	0	object/static/structure/tatooine/pillar_damaged_large_style_01.iff	0	-6401.049	90.33118	5747.231	0.8886421	0	-0.09211387	-0.4492543		$|
8335402	0	object/static/structure/tatooine/pillar_damaged_large_style_01.iff	0	-6403.268	90.06423	5733.006	0	0	1	0		$|
8335404	0	object/static/structure/tatooine/wall_archway_tatooine_large_style_01.iff	0	-6407.807	91.04815	5746.069	0.5410191	0	-0.5713831	-0.4558935		$|
8335407	0	object/static/structure/general/tato_cave_rock_large.iff	0	-6405.553	91.98127	5752.632	0.9614485	0	0.1200333	0.2454981		$|
8485400	0	object/static/structure/tatooine/pillar_pristine_tall_style_01.iff	0	-6433.194	9.30957	4855.901	0.4863645	0	0.7932806	-0.0292705		$|
8575355	0	object/static/structure/dantooine/dant_boundary_post.iff	0	-6908.726	105.8447	4506.748	-0.02999557	0	0.99955	0		$|
8575357	0	object/static/structure/general/skeleton_human_head.iff	0	-6907.842	105.9337	4510.026	-0.0299955	0	0.99955	0		$|
8575358	0	object/static/structure/general/skeleton_human_head.iff	0	-6909.951	105.8973	4509.891	-0.0299955	0	0.99955	0		$|
8575361	0	object/static/structure/general/skeleton_human_head.iff	0	-6908.849	105.81	4511.511	-0.0299955	0	0.99955	0		$|
8575362	0	object/static/structure/general/skeleton_human_head.iff	0	-6908.821	105.8735	4508.869	-0.0299955	0	0.99955	0		$|
8575363	0	object/static/structure/general/skeleton_human_head.iff	0	-6908.852	105.9069	4510.354	-0.0299955	0	0.99955	0		$|
8575364	0	object/static/structure/general/skeleton_human_head.iff	0	-6908.775	105.8618	4507.395	-0.0299955	0	0.99955	0		$|
8575433	0	object/static/particle/particle_campfire_style_1.iff	0	-6293.865	14.44097	4096.917	0	0	1	0		$|
