objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
8085440	0	object/static/structure/general/prp_junk_s1.iff	0	-2406.469	14.40648	564.9372	0.4750315	0	0.8799688	0		$|
8085441	0	object/static/structure/general/prp_junk_s4.iff	0	-2403.099	14.45747	564.7139	0	0	0.9358969	0		$|
8085443	0	object/static/structure/general/prp_junk_s8.iff	0	-2403.054	14.37925	567.5627	0	0	1	0		$|
8085444	0	object/static/structure/military/military_column_weak_imperial_style_01.iff	0	-2407.781	13.87165	566.3979	0	0	0.9568021	0		$|
8085447	0	object/static/structure/general/prp_junk_s7.iff	0	-2404.504	16.6424	562.7675	0.38268	0	-0.001608699	0.003883742		$|
8085459	0	object/static/flora/flora_bush_yavin_blueleaf.iff	0	-2406.506	14.35827	567.0645	0	0	1	0		$|
8085460	0	object/static/flora/flora_bush_yavin_blueleaf.iff	0	-2400.674	14.48888	562.4531	0	0	1	0		$|
8085461	0	object/static/flora/flora_bush_yavin_blueleaf.iff	0	-2404.592	14.48124	560.9399	0	0	1	0		$|
8085462	0	object/static/flora/flora_bush_yavin_blueleaf.iff	0	-2402.124	14.40772	566.6146	0	0	1	0		$|
8085463	0	object/static/flora/flora_bush_yavin_blueleaf.iff	0	-2407.075	14.41518	563.2537	0	0	1	0		$|
8085464	0	object/static/structure/general/streetlamp_small_blue_style_01.iff	0	-2405.473	12.96158	563.9226	0	0	1	0		$|
8585500	0	object/static/structure/naboo/gungan_relic_s02.iff	0	-3729.594	78.24403	266.237	0.1837511	0	0.9064725	-0.07553176		$|
8585501	0	object/static/structure/naboo/gungan_pillar_damaged_s01.iff	0	-3735.464	80.44471	264.2276	0	0	0.9393728	0		$|
8585502	0	object/static/structure/naboo/gungan_pillar_ruined_s01.iff	0	-3731.834	79.03418	269.5969	0	0	0.9978883	0		$|
8585503	0	object/static/structure/naboo/gungan_relic_s02.iff	0	-3740.801	82.91444	267.8235	0	0	0.7960838	0		$|
8585504	0	object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	0	-3728.24	77.83247	278.9542	-0.2279775	0	0.9736664	0		$|
8585505	0	object/static/structure/general/streetlamp_small_green_style_01.iff	0	-3733.472	78.82379	266.9906	0	0	1	0		$|
8625352	0	object/static/structure/general/trash_pile_s01.iff	0	-2949.795	9.693686	1697.732	0	0	1	0		$|
8625354	0	object/static/structure/general/prp_junk_s7.iff	0	-2951.073	14.68998	1701.367	4.181905E-09	0	-0.3826834	0.9238796		$|
8625355	0	object/static/structure/general/prp_junk_s7.iff	0	-2950.764	13.69326	1695.281	0.3826842	0	1.009602E-08	4.401123E-08		$|
8625356	0	object/static/structure/general/trash_pile_s01.iff	0	-2953.918	9.698508	1698.663	0	0	1	0		$|
8625358	0	object/static/structure/general/campfire_ash.iff	0	-2952.274	9.857076	1699.379	0	0	1	0		$|
8625359	0	object/static/structure/general/prp_junk_s8.iff	0	-2951.365	10.32668	1700.389	0	0	1	0		$|
8625361	0	object/static/structure/general/prp_junk_s6.iff	0	-2948.554	10.10099	1699.018	0	0	1	0		$|
8625362	0	object/static/structure/general/prp_junk_s5.iff	0	-2955.522	9.83873	1700.152	-0.3240429	0	0.9460424	0		$|
8625363	0	object/static/structure/general/prp_junk_s3.iff	0	-2957.475	8.947188	1695.788	0	0	1	0		$|
8625365	0	object/tangible/furniture/all/frn_all_rug_rectangle_large_style_01.iff	0	-2952.16	9.575063	1697.832	0.6852884	0	0.7282718	0		$|
8625366	0	object/static/structure/general/streetlamp_small_style_01.iff	0	-2952.555	8.599486	1698.456	0	0	1	0		$|
8835496	0	object/static/structure/military/military_column_weak_imperial_style_01.iff	0	-2193.557	9.048231	679.7847	0	0	0.9820042	0		$|
8835497	0	object/static/structure/military/military_column_weak_imperial_style_01.iff	0	-2179.205	8.323542	678.5917	0.5613639	0	0.7760007	0.02541539		$|
8835498	0	object/static/structure/military/military_wall_weak_imperial_16_style_01.iff	0	-2188.532	8.143884	674.1805	-0.01999867	0	0.9998	0		$|
8835499	0	object/static/structure/military/military_wall_weak_imperial_16_style_01.iff	0	-2191.157	9.362483	684.7751	-0.01847618	0	0.9236948	-0.3826068		$|
8835500	0	object/static/structure/tatooine/debris_tatt_crate_1.iff	0	-2199.827	11.67659	698.6146	0	0	1	0		$|
8835501	0	object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	0	-2197.459	10.69644	700.9229	0	0	1	0		$|
8835502	0	object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	0	-2199.949	10.50958	698.3013	0	0	1	0		$|
8835503	0	object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	0	-2197.464	10.76402	701.6064	0	0	1	0		$|
8835504	0	object/static/structure/general/trash_pile_s01.iff	0	-2194.763	10.8857	699.7149	0	0	1	0		$|
8835505	0	object/static/structure/general/prp_junk_s8.iff	0	-2196.772	10.97578	704.0187	0	0	1	0		$|
8835506	0	object/static/structure/general/prp_junk_s7.iff	0	-2197.638	14.35331	695.6791	0.38268	0	0.001608638	-0.003883625		$|
8835507	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	-2178.956	11.05947	688.6461	0	0	0.7518059	0		$|
8835508	0	object/static/structure/general/prp_engine.iff	0	-2195.292	10.80852	701.9199	0	0	1	0		$|
