objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
8135577	0	object/building/endor/endor_lake_platform.iff	0	-2073.769	75.55573	3284.448	0	0	1	0		$|
8135578	0	object/building/endor/endor_lake_platform.iff	0	-2089.743	75.55962	3260.416	-0.7071056	0	0.7071079	0		$|
8135579	0	object/building/endor/endor_lake_walkway_straight.iff	0	-2077.76	65.7551	3300.449	0	0	1	0		$|
8135580	0	object/building/endor/endor_lake_walkway_straight.iff	0	-2069.737	65.77169	3268.442	0	0	1	0		$|
8135582	0	object/building/endor/endor_lake_walkway_straight.iff	0	-2073.759	65.79264	3256.447	-0.707106	0	0.7071075	0		$|
8135583	0	object/building/naboo/merchant_tent_naboo_s01.iff	0	-2070.236	75.88857	3287.591	-0.7068253	0	0.7073882	0		$|
8135584	8135583	object/cell/cell.iff	1	0	0	0	0	1.401298E-45	1	0		$|
8135646	8135584	object/tangible/furniture/tatooine/frn_tato_tbl_cafe_table_style_01.iff	0	0.0573926	0.267105	0.8450713	0	0	1	0		$|
8135647	8135584	object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_01.iff	0	1.170024	0.267105	0.7343118	-0.6011985	0	0.7990997	0		$|
8135648	8135584	object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_02.iff	0	-0.7857646	0.267105	0.2779828	0.3662726	0	0.9305076	0		$|
8135649	8135584	object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_01.iff	0	-0.9490978	0.267104	1.524778	0.8772005	0	0.4801242	0		$|
8135650	8135584	object/static/structure/general/camp_cot_s01.iff	0	1.940073	0.267105	-0.9735386	-0.4881773	0	0.8727445	0		$|
8135651	8135584	object/static/structure/general/camp_cot_s01.iff	0	-2.014628	0.267105	-1.068203	0.4968801	0	0.8678192	0		$|
8135652	8135584	object/tangible/furniture/cheap/chest_s01.iff	0	0.1301774	0.267105	-2.46068	0	0	1	0		$|
8135653	8135584	object/static/item/item_con_drink_flask.iff	0	0.1080804	0.9944277	0.9044536	0	0	1	0		$|
8135657	8135584	object/static/item/item_con_glass_beaker.iff	0	0.03656567	0.9944277	0.7445755	0	0	1	0		$|
8135659	8135584	object/static/item/item_con_plate_casserole.iff	0	0.4818751	1.02605	0.9408667	0	0	1	0		$|
8135660	8135584	object/static/item/item_con_plate_casserole.iff	0	-0.3092581	1.026052	0.6482913	0.7545709	0	-0.6562185	0		$|
8135691	8135584	object/static/item/wp_pistol_dl44_metal_combined.iff	0	0.4134394	1.247411	-2.056353	0.6982461	0	-0.135958	0.6855974		$|
8135693	8135584	object/static/item/wp_rifle_laser_combined.iff	0	-0.6476066	0.4884644	-2.190659	0.09090221	0	0.7191045	-0.6805882		$|
8135585	0	object/building/naboo/merchant_tent_naboo_s01.iff	0	-2086.333	75.87582	3264.046	0.9999996	0	0.0007962267	0		$|
8135586	8135585	object/cell/cell.iff	1	0	0	0	0	1.401298E-45	1	0		$|
8135661	8135586	object/tangible/furniture/all/frn_all_desk_radar_topology_screen.iff	0	-0.08403818	0.267105	-1.798267	0	0	1	0		$|
8135662	8135586	object/tangible/furniture/imperial/table_s1.iff	0	2.459289	0.267105	0.9252526	0.8749816	0	-0.484156	0		$|
8135663	8135586	object/static/structure/general/data_terminal_s1.iff	0	-2.521933	0.267105	-0.8917409	0.4925348	0	0.8702927	0		$|
8135665	8135586	object/static/item/item_container_energy_liquid.iff	0	-2.302872	0.267105	0.8125482	0.5438349	0	0.8391923	0		$|
8135666	8135586	object/static/item/item_container_energy_liquid.iff	0	-2.140854	0.267104	1.21436	0.188859	0	0.9820042	0		$|
8135667	8135586	object/static/item/item_container_energy_liquid.iff	0	-1.911037	0.267105	1.555429	0.9408059	0	-0.3389462	0		$|
8135587	0	object/building/naboo/merchant_tent_naboo_s01.iff	0	-2093.315	75.85693	3257.087	0.7071061	0	0.7071074	0		$|
8135588	8135587	object/cell/cell.iff	1	0	0	0	0	1.401298E-45	1	0		$|
8135682	8135588	object/static/structure/general/camp_cot_s01.iff	0	1.56391	0.267105	-1.108556	-0.4484228	0	0.8938216	0		$|
8135683	8135588	object/static/structure/general/camp_cot_s01.iff	0	-1.862767	0.267105	0.9953299	0.8747889	0	0.4845043	0		$|
8135684	8135588	object/static/structure/general/camp_cot_s01.iff	0	-1.560692	0.267105	-1.465679	0.4968801	0	0.8678192	0		$|
8135685	8135588	object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	0	2.491385	0.267105	0.6836988	0.4794255	0	0.8775826	0		$|
8135686	8135588	object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	0	2.258565	0.4884644	0.5270848	-0.2561259	0	0.8907047	-0.1037879		$|
8135687	8135588	object/static/item/wp_mle_axe_heavy_duty.iff	0	1.127239	0.962806	-1.175191	-0.185327	0	0.104205	0.8977807		$|
8135688	8135588	object/static/item/wp_rifle_t21_combined.iff	0	-2.522088	0.5833327	-0.4147411	0.3812628	0	-0.6026284	0.7003129		$|
8135591	0	object/building/endor/endr_lake_rail4m.iff	0	-2072.058	75.65721	3284.471	0.2570806	0	0.96639	0		$|
8135592	0	object/building/endor/endr_lake_rail4m.iff	0	-2068.474	75.65679	3284.466	-0.2715469	0	0.9624252	0		$|
8135593	0	object/building/endor/endr_lake_rail4m.iff	0	-2066.705	75.65555	3287.587	0.710353	0	-0.7038454	0		$|
8135594	0	object/building/endor/endr_lake_rail4m.iff	0	-2068.526	75.66394	3290.721	0.2522454	0	0.9676633	0		$|
8135595	0	object/building/endor/endr_lake_rail4m.iff	0	-2072.105	75.6721	3290.653	-0.2667315	0	0.9637709	0		$|
8135596	0	object/building/endor/endr_lake_rail4m.iff	0	-2089.451	75.72115	3262.303	0.8674236	0	-0.4975705	0		$|
8135597	0	object/building/endor/endr_lake_rail4m.iff	0	-2089.481	75.71299	3265.883	-0.5012133	0	0.8653238	0		$|
8135598	0	object/building/endor/endr_lake_rail4m.iff	0	-2086.325	75.7046	3267.669	0.9999994	0	-0.0007966288	0		$|
8135599	0	object/building/endor/endr_lake_rail4m.iff	0	-2083.268	75.70626	3262.283	-0.4968797	0	0.8678194	0		$|
8135600	0	object/building/endor/endr_lake_rail4m.iff	0	-2083.225	75.70584	3265.866	0.8699002	0	-0.493228	0		$|
8135601	0	object/building/endor/endr_lake_rail4m.iff	0	-2091.512	75.74872	3253.957	0.9639829	0	0.2659644	0		$|
8135602	0	object/building/endor/endr_lake_rail4m.iff	0	-2095.092	75.74055	3253.893	0.9674621	0	-0.2530155	0		$|
8135603	0	object/building/endor/endr_lake_rail4m.iff	0	-2096.906	75.73216	3257.031	0.7044083	0	0.7097946	0		$|
8135604	0	object/building/endor/endr_lake_rail4m.iff	0	-2091.549	75.73383	3260.138	0.9661847	0	-0.2578507	0		$|
8135605	0	object/building/endor/endr_lake_rail4m.iff	0	-2095.132	75.73341	3260.149	0.9626412	0	0.2707804	0		$|
8135606	0	object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	0	-2074.277	75.77635	3289.21	-0.2811575	0	0.9596617	0		$|
8135607	0	object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	0	-2074.233	75.78086	3285.982	0.8016199	0	0.5978339	0		$|
8135608	0	object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	0	-2088.01	75.73937	3260.179	0.7578425	0	-0.6524377	0		$|
8135609	0	object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	0	-2084.721	75.77971	3260.203	0.1048071	0	0.9944926	0		$|
8135610	0	object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	0	-2089.329	75.75751	3255.428	0.6705881	0	0.7418299	0		$|
8135611	0	object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	0	-2089.473	75.74819	3258.754	0.07492965	0	0.9971888	0		$|
8135612	0	object/static/item/item_container_weapons.iff	0	-2069.053	75.73923	3282.313	0.8649246	0	0.501902	0		$|
8135613	0	object/static/item/item_container_weapons.iff	0	-2068.674	76.45525	3282.816	0.3709206	0	0.9286646	0		$|
8135614	0	object/static/item/item_container_weapons.iff	0	-2068.168	75.73605	3283.663	0.492535	0	0.8702927	0		$|
8135615	0	object/static/item/item_comp_stabilization_unit.iff	0	-2080.854	75.77867	3290.221	0.9999577	0	0.009203483	0		$|
8135616	0	object/static/item/item_comp_ion_cannon.iff	0	-2080.301	76.22872	3290.354	0.6472668	0	-0.6226742	0.3132479		$|
8135617	0	object/static/item/item_container_energy_liquid.iff	0	-2080.136	75.7485	3289.847	0.5850973	0	0.8109631	0		$|
8135618	0	object/static/item/item_container_energy_liquid.iff	0	-2079.661	75.75579	3289.799	0.9086335	0	0.4175946	0		$|
8135620	0	object/static/item/item_container_electronics.iff	0	-2073.473	75.7169	3291.071	-0.585097	0	0.8109633	0		$|
8135621	0	object/static/structure/dantooine/dant_fish_rack.iff	0	-2066.913	75.81867	3253.621	0.9207506	0	0.3901516	0		$|
8135622	0	object/static/structure/dantooine/dant_fish_rack.iff	0	-2071.932	75.81036	3253.615	0.9207506	0	-0.3901517	0		$|
8135623	0	object/static/structure/dantooine/dant_fish_rack.iff	0	-2066.772	75.82262	3255.518	0.6961398	0	0.7179072	0		$|
8135624	0	object/static/item/item_comp_blaster_cannon.iff	0	-2096.238	76.19184	3266.212	-0.1345904	0	0.9909014	0		$|
8135626	0	object/static/item/item_tool_turbine_generator.iff	0	-2096.186	75.69527	3266.464	0.9915619	0	0.1296342	0		$|
8135641	0	object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	0	-2095.249	75.75193	3267.186	-0.04997917	0	0.9987503	0		$|
8135642	0	object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	0	-2094.293	75.72871	3267.15	0.1790296	0	0.9838437	0		$|
8135643	0	object/static/item/item_container_armor.iff	0	-2082.57	75.7353	3260.566	0.1642524	0	0.9864184	0		$|
8135644	0	object/static/item/item_container_weapons.iff	0	-2090.426	75.75111	3265.769	0.277886	0	0.960614	0		$|
8135645	0	object/static/item/item_container_weapons.iff	0	-2089.926	75.75413	3253.905	0.836026	0	-0.5486899	0		$|
8135689	0	object/static/item/wp_rifle_t21_combined.iff	0	-2089.404	76.09174	3253.267	0.5096948	0	-0.4745479	0.2049539		$|
8135690	0	object/static/item/wp_mle_lance_vibroaxe.iff	0	-2082.789	76.67658	3259.658	-0.1700978	0	-0.1288968	0.7619468		$|
8135694	0	object/static/structure/naboo/poi_nboo_tent_small.iff	0	-2069.241	75.90142	3255.459	0.5521992	0	0.8337122	0		$|
8135695	0	object/static/structure/naboo/poi_nboo_tent_small.iff	0	-2079.287	75.8358	3279.387	0.004999974	0	0.9999875	0		$|
8135698	0	object/static/structure/naboo/gungan_relic_s01.iff	0	-2091.412	77.36717	3356.935	0.2279775	0	0.9736664	0		$|
8135700	0	object/static/structure/naboo/gungan_pillar_damaged_s01.iff	0	-2082.208	77.51698	3344.617	0.3050586	0	0.9523336	0		$|
8135701	0	object/static/structure/naboo/gungan_pillar_ruined_s01.iff	0	-2076	77.84756	3357.039	-0.5521993	0	0.8337122	0		$|
8135702	0	object/static/structure/naboo/gungan_pillar_damaged_s01.iff	0	-2069.057	77.60878	3353.486	0.2667314	0	0.9637709	0		$|
8135703	0	object/static/structure/naboo/gungan_pillar_ruined_s01.iff	0	-2075.605	75.74138	3341.621	0.852108	0	0.523366	0		$|
8135704	0	object/static/structure/naboo/gungan_damaged_wide_arch_s01.iff	0	-2064.22	77.78985	3343.632	0.232843	0	0.9725143	0		$|
8135705	0	object/static/structure/naboo/gungan_wall_ruined_lg_s01.iff	0	-2082.963	77.08867	3322.924	-0.5971954	0	0.8020958	0		$|
8135706	0	object/static/structure/naboo/gungan_wall_ruined_sm_s01.iff	0	-2091.229	78.13929	3328.413	0.1345903	0	0.9909014	0		$|
8135707	0	object/static/structure/naboo/gungan_wall_ruined_sm_s02.iff	0	-2072.324	78.36388	3323.857	0.1937666	0	0.9810476	0		$|
8135708	0	object/static/structure/naboo/gungan_wall_ruined_sm_s01.iff	0	-2070.683	78.0191	3328.638	0.9893905	0	-0.1452804	0		$|
8135709	0	object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	0	-2073.816	77.67683	3334.109	-0.5769585	0	0.8167734	0		$|
8135710	0	object/static/structure/naboo/gungan_pillar_ruined_s01.iff	0	-2069.806	77.80779	3332.674	0.1839465	0	0.9829362	0		$|
8135712	0	object/static/structure/naboo/gungan_shield_gen_s01.iff	0	-2097.6	78.09587	3344.844	0.249301	0	0.6504814	0.5371252		$|
8135717	0	object/static/structure/naboo/gungan_statue_s01.iff	0	-2080.553	77.63428	3344.21	0.8468319	0	0.5318609	0		$|
8135718	0	object/static/structure/naboo/gungan_statue_s02.iff	0	-2074.145	77.69122	3356.166	0.8225332	0	0.5669549	-0.0006520647		$|
8135719	0	object/static/structure/naboo/gungan_statue_s04.iff	0	-2067.654	77.96375	3352.798	0.8547142	0	0.5190992	0		$|
8135728	0	object/static/structure/general/streetlamp_medium_style_02.iff	0	-2074.152	75.78067	3252.695	0	0	1	0		$|
8135729	0	object/static/structure/general/streetlamp_medium_style_02.iff	0	-2066.202	75.73314	3279.863	-0.6091592	0	0.7930479	0		$|
8135730	0	object/static/structure/general/streetlamp_medium_style_02.iff	0	-2097.143	75.73728	3263.723	0.7068248	0	0.7073886	0		$|
8135743	0	object/static/structure/naboo/gungan_damaged_wide_arch_s01.iff	0	-2085.135	75.42092	3211.749	-0.6961353	0	0.7179106	0		$|
8135744	0	object/static/structure/naboo/gungan_wall_ruined_sm_s01.iff	0	-2079.911	76.18124	3221.33	0.08987857	0	0.9959527	0		$|
