objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
1094937	0	object/static/structure/general/streetlamp_small_green_style_02.iff	0	-3394.384	4.92907	2495.2	0	0	1	0		$|
1179110	0	object/tangible/collection/scout_trooper_gloves.iff	0	-2440.206	44.95626	3658.698	0	0	0.9047517	0		$|
1392907	0	object/building/military/military_base_shed_imperial_style_hospital_01.iff	0	-2163	20	2328	-0.7071063	0	0.7071072	0	planet_map.map_loc:theme_park.dungeon.generic_spawner	spawn_table|4|datatables/spawning/building_spawns/talus_imp_outpost_med_facility.iff|planetMap.category|4|medicalcenter|healing.canhealwound|0|1|$|
1392908	1392907	object/cell/cell.iff	1	0	0	0	0	1.401298E-45	1	0		$|
1392909	1392907	object/cell/cell.iff	2	0	0	0	0	2.802597E-45	1	0		$|
1392910	1392907	object/cell/cell.iff	3	0	0	0	0	4.203895E-45	1	0		$|
1392911	1392907	object/cell/cell.iff	4	0	0	0	0	5.605194E-45	1	0		$|
1392912	1392907	object/cell/cell.iff	5	0	0	0	0	7.006492E-45	1	0		$|
1392913	1392907	object/cell/cell.iff	6	0	0	0	0	8.407791E-45	1	0		$|
2735809	0	object/static/creature/droids_eg6.iff	0	-2242.875	20	2266.756	0.3145665	0	0.9492354	0		$|
2735838	0	object/static/structure/general/streetlamp_medium_style_01.iff	0	-2087.093	20	2301.837	-0.6518331	0	0.7583624	0		$|
2735839	0	object/static/structure/general/streetlamp_medium_style_01.iff	0	-2136.899	20	2382.493	0.2522454	0	0.9676633	0		$|
2735840	0	object/static/structure/general/streetlamp_medium_style_01.iff	0	-2228.95	20	2382.346	-0.2907398	0	0.9568021	0		$|
2735841	0	object/static/structure/general/streetlamp_medium_style_01.iff	0	-2276.957	20	2302.321	0.7479711	0	-0.6637313	0		$|
2735842	0	object/static/structure/general/streetlamp_medium_style_01.iff	0	-2228.879	20	2221.197	0.1741081	0	0.9847265	0		$|
2735843	0	object/static/structure/general/streetlamp_medium_style_01.iff	0	-2136.87	20	2221.792	-0.3050587	0	0.9523336	0		$|
2735844	0	object/static/structure/general/streetlamp_small_style_01.iff	0	-2130.747	20	2331.668	-0.2955202	0	0.9553365	0		$|
2735845	0	object/static/structure/general/streetlamp_small_style_01.iff	0	-2234.818	20	2331.497	0.2182296	0	0.9758974	0		$|
2735846	0	object/static/structure/general/streetlamp_small_style_01.iff	0	-2182.992	20	2244.301	-0.01499944	0	0.9998875	0		$|
2735847	0	object/static/structure/general/streetlamp_medium_style_01.iff	0	-2187.019	20	2306.5	0	0	1	0		$|
4245475	0	object/static/structure/general/banner_imperial_style_01.iff	0	-2176.509	20	2272.582	0	0	1	0		$|
4245476	0	object/static/structure/general/banner_imperial_style_01.iff	0	-2190.462	20	2272.38	0	0	1	0		$|
