objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
734180	0	object/static/structure/tatooine/bridge_tatooine_small_style_01.iff	0	2036.451	8.637031	1398.64	0.188859	0	0.9820042	0		$|
734182	0	object/static/structure/tatooine/wall_pristine_tatooine_large_style_02.iff	0	2038.425	8.111643	1390.587	0.3961862	0	-0.5860243	-0.3964778		$|
734190	0	object/static/structure/tatooine/wall_cleft_tatooine_large_style_01.iff	0	2045.716	4.696306	1387.703	0.9808931	0	-0.1945478	0		$|
734192	0	object/static/structure/tatooine/pillar_pristine_large_style_01.iff	0	2040.591	3.006356	1401.559	0.1937666	0	0.9810476	0		$|
734193	0	object/static/structure/tatooine/pillar_pristine_large_style_01.iff	0	2035.468	3.007762	1403.611	-0.5605093	0	0.8281481	0		$|
734201	0	object/static/structure/tatooine/wall_pristine_tatooine_small_style_01.iff	0	1384.527	5	1229.367	0.3287691	0	0.9444103	0		$|
734204	0	object/static/structure/tatooine/pillar_watto_junkshop.iff	0	1390.631	5	1231.352	0	0	1	0		$|
734208	0	object/static/structure/tatooine/pillar_pristine_small_style_01.iff	0	1385.785	5	1232.183	-0.4349655	0	0.9004471	0		$|
734212	0	object/static/structure/tatooine/wall_pristine_tatooine_small_style_01.iff	0	1387.926	5	1231.802	-0.6889205	0	0.7248369	0		$|
734213	0	object/tangible/furniture/ep3_rewards/ep3_kash_reward_sordaan_hunting_trophy.iff	0	1391.563	5.821796	1230.656	-0.4733167	0	0.8767917	0.07470729		$|
734214	0	object/tangible/furniture/ep3_rewards/ep3_kash_reward_trophy_bantha_kash.iff	0	1389.736	8.283868	1222.787	0.3239417	0	0.9457467	-0.0236486		$|
734215	0	object/tangible/furniture/ep3_rewards/ep3_kash_reward_trophy_bolotaur.iff	0	1387.293	9.704639	1224.416	0.3238975	0	0.9456166	-0.02837702		$|
734216	0	object/tangible/furniture/ep3_rewards/ep3_kash_reward_trophy_katarn.iff	0	1384.107	6.073805	1228.687	0.9029419	0	0.4297334	0.002148684		$|
734217	0	object/tangible/furniture/ep3_rewards/ep3_kash_reward_trophy_kkorrwrot.iff	0	1384.946	7.980807	1226.666	0.3474817	0	0.9373535	-0.02343872		$|
734218	0	object/tangible/furniture/ep3_rewards/ep3_kash_reward_trophy_minstyngar.iff	0	1385.118	6.217859	1230.072	0.9029531	0	0.429739	0		$|
734219	0	object/tangible/furniture/ep3_rewards/ep3_kash_reward_trophy_mouf.iff	0	1387.425	6.724788	1224.727	0.3286665	0	0.9441152	-0.02360779		$|
734220	0	object/tangible/furniture/ep3_rewards/ep3_kash_reward_trophy_uller.iff	0	1393.942	8.623197	1218.36	0.3222582	0	0.9408321	-0.09915201		$|
734221	0	object/tangible/furniture/ep3_rewards/ep3_kash_reward_trophy_walluga.iff	0	1391.956	8.823292	1219.87	0.3222584	0	0.940832	-0.09915205		$|
734222	0	object/tangible/furniture/ep3_rewards/ep3_kash_reward_trophy_webweaver.iff	0	1388.164	6.106798	1231.284	0.9996673	0	-0.02579351	0		$|
894871	0	object/static/particle/particle_newbie_steam.iff	0	154.3325	2.824879	1665.713	0	0	1	0		$|
894872	0	object/tangible/camp/camp_tent_s5.iff	0	159.8997	1.302578E-08	1684.445	-0.1642524	0	0.9864184	0		$|
894873	0	object/tangible/camp/camp_lantern_s3.iff	0	155.5234	1.302578E-08	1682.493	0	0	1	0		$|
894876	0	object/static/particle/pt_survey_gas_sample.iff	0	168.5796	0	1663.272	0	0	1	0		$|
894877	0	object/static/particle/pt_survey_gas_sample.iff	0	153.5474	0.003586	1662.927	0	0	1	0		$|
937345	0	object/static/structure/tatooine/debris_tatt_radar_dish.iff	0	1591.964	5	1381.827	-0.368369	0	0.896156	-0.1031354		$|
937622	0	object/static/structure/tatooine/debris_tatt_radar_dish.iff	0	1742.23	2.511568	1252.708	0.7835888	0	-0.4266789	-0.4108865		$|
937719	0	object/static/structure/tatooine/debris_tatt_radar_dish.iff	0	1393.877	5	978.1841	-0.2116829	0	0.9693537	0.02659902		$|
937895	0	object/static/structure/tatooine/debris_tatt_crate_1.iff	0	1194.565	5	1398.006	0.8906642	0	0.4546612	0		$|
937896	0	object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	0	1195.842	5	1398.186	-0.4779004	0	0.878414	0		$|
937897	0	object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	0	1195.423	5	1399.436	0.4115209	0	0.9114003	0		$|
937898	0	object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	0	1193.976	5	1398.804	0.5296935	0	0.8481891	0		$|
937926	0	object/static/structure/tatooine/debris_tatt_pipe_narrow_2.iff	0	1247.462	5	1547.25	0.9584712	0	0.285189	0		$|
937932	0	object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	0	1249.35	5	1550.259	0.9994435	0	0.03335543	0		$|
937933	0	object/static/structure/tatooine/debris_tatt_crate_1.iff	0	1237.49	5	1521.858	0.7456551	0	0.6663328	0		$|
937934	0	object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	0	1236.817	5	1522.978	-0.2774061	0	0.9607528	0		$|
937935	0	object/static/structure/tatooine/debris_tatt_drum_storage_2.iff	0	1250.269	5	1551.89	0.7776315	0	0.6287211	0		$|
937937	0	object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	0	1236.957	5	1520.997	-0.2471383	0	0.9689802	0		$|
1033375	0	object/static/structure/tatooine/pillar_ruined_large_style_01.iff	0	1320.153	5	1629.484	-0.5127668	0	0.8585279	0		$|
1033376	0	object/static/structure/tatooine/wall_damaged_tatooine_large_style_01.iff	0	1392.167	3.021747	1643.467	0.6170574	0	0.7869181	0		$|
1033377	0	object/static/structure/tatooine/wall_damaged_tatooine_large_style_01.iff	0	1400.045	3.021747	1645.89	0.7838225	0	-0.6209847	0		$|
1082874	0	object/building/tatooine/cantina_tatooine.iff	0	1384.346	5	1325.87	0.3263017	0	0.9452657	0	theme_park.tatooine.mos_eisley.masterspawner	healing.canhealshock|0|1|$|
1082875	1082874	object/cell/cell.iff	1	0	0	0	0	1.401298E-45	1	0		$|
1082876	1082874	object/cell/cell.iff	2	0	0	0	0	2.802597E-45	1	0		$|
1082877	1082874	object/cell/cell.iff	3	0	0	0	0	4.203895E-45	1	0		$|
1082878	1082874	object/cell/cell.iff	4	0	0	0	0	5.605194E-45	1	0		$|
1082879	1082874	object/cell/cell.iff	5	0	0	0	0	7.006492E-45	1	0		$|
509457808	1082879	object/tangible/collection/hanging_light_02_01.iff	0	17.83558	2.7849	19.06995	0	0	1	0		$|
1082880	1082874	object/cell/cell.iff	6	0	0	0	0	8.407791E-45	1	0		$|
